Minimum Support/Confidence,# of Frequent Patterns,# of Rules,Total Time,Maximum Memory
0.01,1707,80,0.181,15.7060546875
Minimum Support/Confidence,# of Frequent Patterns,# of Rules,Total Time,Maximum Memory
0.008,4150,52371,0.26,27.5966796875
Minimum Support/Confidence,# of Frequent Patterns,# of Rules,Total Time,Maximum Memory
0.006,8429,71964,0.508,30.712890625
Minimum Support/Confidence,# of Frequent Patterns,# of Rules,Total Time,Maximum Memory
0.004,30155,319062,0.786,31.96484375
Minimum Support/Confidence,# of Frequent Patterns,# of Rules,Total Time,Maximum Memory
0.01,1707,80,0.233,15.7021484375
Minimum Support/Confidence,# of Frequent Patterns,# of Rules,Total Time,Maximum Memory
0.008,4150,52371,0.386,27.6123046875
Minimum Support/Confidence,# of Frequent Patterns,# of Rules,Total Time,Maximum Memory
0.006,8429,71964,0.386,30.7119140625
Minimum Support/Confidence,# of Frequent Patterns,# of Rules,Total Time,Maximum Memory
0.004,30155,319062,0.782,32.0068359375
